Network_SID,DateTime_Key,NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,RFInputPower,TID,FarEndTID,SLOT,PORT
-1462450249,2021/01/21 05:15:00,SOEM1,14268,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-OBT01-OBB01-TN1.1,AMM 20PB,-41.3,WB1e,WT2f,1/5+,1
156548933,2021/01/21 05:15:00,SOEM1,14418,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BL5530.1,AMM 2PB,-43.5,b30a,B32c,1/2+,1
-600447660,2021/01/21 05:15:00,SOEM1,14396,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-DJT02.1,AMM 20PB,-43.2,dT2h,d14f,1/4+,1
-175080812,2021/01/21 05:15:00,SOEM1,14380,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-ME2678.1,AMM 2PB,-44.5,M78c,M79d,1/3+,1
-1308450087,2021/01/21 05:15:00,SOEM1,14359,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-ME2680.1,AMM 2PB,-43.2,M80a,MT1w,1/2+,1
564756658,2021/01/21 05:15:00,SOEM1,14346,1/7.1/1,2021-01-21 00:00:00,24,Near End,TN-DJT01-TN2-BSCdjelfa.1,AMM 20PB,-38.5,dT1z,dT3y,1/7+,1
564756658,2021/01/21 05:15:00,SOEM1,14346,1/9.1/1,2021-01-21 00:00:00,24,Near End,TN-DJT01-TN2-BSCdjelfa.1,AMM 20PB,-99.9,TRMA,TRMB,1/9+,1
564756658,2021/01/21 05:15:00,SOEM1,14346,1/6.1/1,2021-01-21 00:00:00,24,Near End,TN-DJT01-TN2-BSCdjelfa.1,AMM 20PB,-38.5,dT1h,dT3b,1/6+,1
-1480662679,2021/01/21 05:15:00,SOEM1,14183,1/15.1/1,2021-01-21 00:00:00,24,Near End,TN-SET08.1,AMM 20PB,-38.5,ST8h,859b,1/15+,1
-1480662679,2021/01/21 05:15:00,SOEM1,14183,1/9.1/1,2021-01-21 00:00:00,24,Near End,TN-SET08.1,AMM 20PB,-42.0,ST8d,S40b,1/9+,1
-1480662679,2021/01/21 05:15:00,SOEM1,14183,1/8.1/1,2021-01-21 00:00:00,24,Near End,TN-SET08.1,AMM 20PB,-42.3,ST8c,S73b,1/8+,1
-1480662679,2021/01/21 05:15:00,SOEM1,14183,1/6.1/1,2021-01-21 00:00:00,24,Near End,TN-SET08.1,AMM 20PB,-38.5,ST8e,S45b,1/6+,1
-726764017,2021/01/21 05:15:00,SOEM1,14375,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-DJ1734.1,AMM 6PC,-39.8,d34u,dt7u,1/3+,1
-726764017,2021/01/21 05:15:00,SOEM1,14375,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-DJ1734.1,AMM 6PC,-42.3,d34s,dT3s,1/5+,1
-726764017,2021/01/21 05:15:00,SOEM1,14375,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-DJ1734.1,AMM 6PC,-42.0,d34r,dT3r,1/4+,1
-726764017,2021/01/21 05:15:00,SOEM1,14375,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-DJ1734.1,AMM 6PC,-39.8,d34v,dt7v,1/2+,1
1495208146,2021/01/21 05:15:00,SOEM1,14341,1/6.1/1,2021-01-21 00:00:00,24,Near End,TN-DJT01-TN1.1,AMM 20PB,-99.9,dT1t,d04i,1/6+,1
1495208146,2021/01/21 05:15:00,SOEM1,14341,1/7.1/1,2021-01-21 00:00:00,24,Near End,TN-DJT01-TN1.1,AMM 20PB,-99.9,dT1d,d04b,1/7+,1
-1365627763,2021/01/21 05:15:00,SOEM1,14437,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-LA0304.1,AMM 2PB,-41.3,e04b,e01c,1/2+,1
1262651802,2021/01/21 05:15:00,SOEM1,14442,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-LA0305.1,AMM 2PB,-39.5,e05b,e01f,1/2+,1
1262651802,2021/01/21 05:15:00,SOEM1,14442,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-LA0305.1,AMM 2PB,-47.9,e05a,e22a,1/3+,1
-1177486371,2021/01/21 05:15:00,SOEM1,14425,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-LA0301.1,AMM 6PC,-39.8,e01f,e05b,1/3+,1
-1177486371,2021/01/21 05:15:00,SOEM1,14425,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-LA0301.1,AMM 6PC,-43.2,e01c,e04b,1/4+,1
-1161443526,2021/01/21 05:15:00,SOEM1,14433,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-LA0309-TN1.1,AMM 2PB,-40.4,e09d,eT1o,1/2+,1
-1161443526,2021/01/21 05:15:00,SOEM1,14433,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-LA0309-TN1.1,AMM 2PB,-39.8,e09d,eT1o,1/3+,1
1355136370,2021/01/21 05:15:00,SOEM1,14363,1/8.1/1,2021-01-21 00:00:00,24,Near End,TN-MET01-TN3.1,AMM 20PB,-38.8,MT1d,M00b,1/8+,1
1355136370,2021/01/21 05:15:00,SOEM1,14363,1/6.1/1,2021-01-21 00:00:00,24,Near End,TN-MET01-TN3.1,AMM 20PB,-40.7,MT1c,M03b,1/6+,1
1355136370,2021/01/21 05:15:00,SOEM1,14363,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-MET01-TN3.1,AMM 20PB,-39.5,MT1a,MT4a,1/4+,1
1355136370,2021/01/21 05:15:00,SOEM1,14363,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-MET01-TN3.1,AMM 20PB,-38.2,MT1n,MT4i,1/5+,1
1355136370,2021/01/21 05:15:00,SOEM1,14363,1/17.1/1,2021-01-21 00:00:00,24,Near End,TN-MET01-TN3.1,AMM 20PB,-39.1,MT1g,a24g,1/17+,1
1355136370,2021/01/21 05:15:00,SOEM1,14363,1/16.1/1,2021-01-21 00:00:00,24,Near End,TN-MET01-TN3.1,AMM 20PB,-37.9,MT1f,a24f,1/16+,1
1355136370,2021/01/21 05:15:00,SOEM1,14363,1/14.1/1,2021-01-21 00:00:00,24,Near End,TN-MET01-TN3.1,AMM 20PB,-39.8,MT1j,M04b,1/14+,1
1328024664,2021/01/21 05:15:00,SOEM1,14360,1/13.1/1,2021-01-21 00:00:00,24,Near End,TN-MET01-TN2.1,AMM 20PB,-37.9,MT1e,M84a,1/13+,1
1328024664,2021/01/21 05:15:00,SOEM1,14360,1/17.1/1,2021-01-21 00:00:00,24,Near End,TN-MET01-TN2.1,AMM 20PB,-41.0,MT1m,M88a,1/17+,1
1328024664,2021/01/21 05:15:00,SOEM1,14360,1/8.1/1,2021-01-21 00:00:00,24,Near End,TN-MET01-TN2.1,AMM 20PB,-41.0,MT1r,M74a,1/8+,1
1328024664,2021/01/21 05:15:00,SOEM1,14360,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-MET01-TN2.1,AMM 20PB,-38.2,MT1z,B87z,1/5+,1
1328024664,2021/01/21 05:15:00,SOEM1,14360,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-MET01-TN2.1,AMM 20PB,-38.5,MT1x,B87n,1/4+,1
681416646,2021/01/21 05:15:00,SOEM1,14354,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-MET01-TN1.1,AMM 20PB,-38.2,MT1h,MT2b,1/2+,1
681416646,2021/01/21 05:15:00,SOEM1,14354,1/8.1/1,2021-01-21 00:00:00,24,Near End,TN-MET01-TN1.1,AMM 20PB,-40.4,MT1e,M85a,1/8+,1
681416646,2021/01/21 05:15:00,SOEM1,14354,1/13.1/1,2021-01-21 00:00:00,24,Near End,TN-MET01-TN1.1,AMM 20PB,-38.5,MT1o,M79c,1/13+,1
681416646,2021/01/21 05:15:00,SOEM1,14354,1/15.1/1,2021-01-21 00:00:00,24,Near End,TN-MET01-TN1.1,AMM 20PB,-43.8,MT1w,M80a,1/15+,1
681416646,2021/01/21 05:15:00,SOEM1,14354,1/7.1/1,2021-01-21 00:00:00,24,Near End,TN-MET01-TN1.1,AMM 20PB,-49.5,MT1l,M45b,1/7+,1
681416646,2021/01/21 05:15:00,SOEM1,14354,1/6.1/1,2021-01-21 00:00:00,24,Near End,TN-MET01-TN1.1,AMM 20PB,-44.5,MT1l,M45b,1/6+,1
681416646,2021/01/21 05:15:00,SOEM1,14354,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-MET01-TN1.1,AMM 20PB,-36.3,MT1t,M02d,1/4+,1
681416646,2021/01/21 05:15:00,SOEM1,14354,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-MET01-TN1.1,AMM 20PB,-38.8,MT1p,MT2d,1/3+,1
