Network_SID,DateTime_Key,NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,RFInputPower,TID,FarEndTID,SLOT,PORT
-783092249,1/21/2021 5:15,SOEM1,18175,1/4.1/1,1/21/2021 0:00,24,Near End,TN-OU3089.1,AMM 6PC,-47.3,Y89c,Y02c,,
-783092249,1/21/2021 5:15,SOEM1,18175,1/3.1/1,1/21/2021 0:00,24,Near End,TN-OU3089.1,AMM 6PC,-36.9,Y89b,Y00b,,
-783092249,1/21/2021 5:15,SOEM1,18175,1/2.1/1,1/21/2021 0:00,24,Near End,TN-OU3089.1,AMM 6PC,-49.8,Y89a,Y06A,,
291072524,1/21/2021 5:15,SOEM1,18183,1/4.1/1,1/21/2021 0:00,24,Near End,TN-TP4253.1,AMM 6PC,-47.9,T53c,T84b,,
291072524,1/21/2021 5:15,SOEM1,18183,1/3.1/1,1/21/2021 0:00,24,Near End,TN-TP4253.1,AMM 6PC,-45.1,T53b,T81a,,
291072524,1/21/2021 5:15,SOEM1,18183,1/2.1/1,1/21/2021 0:00,24,Near End,TN-TP4253.1,AMM 6PC,-45.4,T53a,B23f,,
-1687956453,1/21/2021 5:15,SOEM1,18188,1/13.1/1,1/21/2021 0:00,24,Near End,TN-BJ0616-TN2.1,AMM 20PB,-38.2,J16k,j02a,,
-1687956453,1/21/2021 5:15,SOEM1,18188,1/16.1/1,1/21/2021 0:00,24,Near End,TN-BJ0616-TN2.1,AMM 20PB,-45.1,J16i,J51a,,
-1687956453,1/21/2021 5:15,SOEM1,18188,1/14.1/1,1/21/2021 0:00,24,Near End,TN-BJ0616-TN2.1,AMM 20PB,-38.8,J16j,J91a,,
-1687956453,1/21/2021 5:15,SOEM1,18188,1/15.1/1,1/21/2021 0:00,24,Near End,TN-BJ0616-TN2.1,AMM 20PB,-42.3,J16g,JTFb,,
-1687956453,1/21/2021 5:15,SOEM1,18188,1/5.1/1,1/21/2021 0:00,24,Near End,TN-BJ0616-TN2.1,AMM 20PB,-56.7,J16f,J47b,,
-1571743957,1/21/2021 5:15,SOEM1,18189,1/13.1/1,1/21/2021 0:00,24,Near End,TN-BJT06(BJ0659)-TN1.1,AMM 20PB,-47.9,J59i,J56b,,
-1571743957,1/21/2021 5:15,SOEM1,18189,1/9.1/1,1/21/2021 0:00,24,Near End,TN-BJT06(BJ0659)-TN1.1,AMM 20PB,-48.5,J59b,JT5c,,
-1571743957,1/21/2021 5:15,SOEM1,18189,1/4.1/1,1/21/2021 0:00,24,Near End,TN-BJT06(BJ0659)-TN1.1,AMM 20PB,-99.9,J59c,J61b,,
-1571743957,1/21/2021 5:15,SOEM1,18189,1/6.1/1,1/21/2021 0:00,24,Near End,TN-BJT06(BJ0659)-TN1.1,AMM 20PB,-99.9,J59a,J19d,,
-1571743957,1/21/2021 5:15,SOEM1,18189,1/8.1/1,1/21/2021 0:00,24,Near End,TN-BJT06(BJ0659)-TN1.1,AMM 20PB,-43.8,J59b,JT5c,,
-1481068732,1/21/2021 5:15,SOEM1,18197,1/2.1/1,1/21/2021 0:00,24,Near End,TN-OU3006-TN2.1,AMM 2PB,-43.5,Y06d,Y90d,,
1813596776,1/21/2021 5:15,SOEM1,18196,1/3.1/1,1/21/2021 0:00,24,Near End,TN-OU3035-TN2.1,AMM 2PB,-52.3,Y35d,Y58d,,
1813596776,1/21/2021 5:15,SOEM1,18196,1/2.1/1,1/21/2021 0:00,24,Near End,TN-OU3035-TN2.1,AMM 2PB,-48.5,Y35a,Y93a,,
1271766835,1/21/2021 5:15,SOEM1,18204,1/5.1/1,1/21/2021 0:00,24,Near End,TN-MS2841.1,AMM 6PC,-49.2,m41c,m19b,,
1271766835,1/21/2021 5:15,SOEM1,18204,1/4.1/1,1/21/2021 0:00,24,Near End,TN-MS2841.1,AMM 6PC,-43.8,m41c,m19b,,
1271766835,1/21/2021 5:15,SOEM1,18204,1/3.1/1,1/21/2021 0:00,24,Near End,TN-MS2841.1,AMM 6PC,-52.3,m41b,mT6c,,
1271766835,1/21/2021 5:15,SOEM1,18204,1/2.1/1,1/21/2021 0:00,24,Near End,TN-MS2841.1,AMM 6PC,-48.9,m41b,mT6c,,
-1398859812,1/21/2021 5:15,SOEM1,18208,1/2.1/1,1/21/2021 0:00,24,Near End,TN-MS2849.1,AMM 2PB,-45.4,m49b,m48d,,
-1791796089,1/21/2021 5:15,SOEM1,18199,1/2.1/1,1/21/2021 0:00,24,Near End,TN-OU3004.1,AMM 2PB,-54.8,Y04c,Y03c,,
-59691857,1/21/2021 5:15,SOEM1,18206,1/2.1/1,1/21/2021 0:00,24,Near End,TN-MS2832.1,AMM 2PB,-44.8,m32b,mT4d,,
1261321518,1/21/2021 5:15,SOEM1,18200,1/2.1/1,1/21/2021 0:00,24,Near End,TN-OU3093.1,AMM 2PB,-48.5,Y93a,Y35a,,
-1527632148,1/21/2021 5:15,SOEM1,18198,1/2.1/1,1/21/2021 0:00,24,Near End,TN-CA AT HASSIM.1,AMM 6PC,-51.7,YTTd,YT1d,,
-1527632148,1/21/2021 5:15,SOEM1,18198,1/3.1/1,1/21/2021 0:00,24,Near End,TN-CA AT HASSIM.1,AMM 6PC,-99.9,YTTd,YT1d,,
-1547880832,1/21/2021 5:15,SOEM1,18203,1/2.1/1,1/21/2021 0:00,24,Near End,TN-MS2858.1,AMM 2PB,-44.2,m58a,mT7f,,
618857855,1/21/2021 5:15,SOEM1,18202,1/4.1/1,1/21/2021 0:00,24,Near End,TN-MST07-MS2861.1,AMM 6PC,-44.5,mT7f,m58a,,
618857855,1/21/2021 5:15,SOEM1,18202,1/3.1/1,1/21/2021 0:00,24,Near End,TN-MST07-MS2861.1,AMM 6PC,-47.6,mT7c,m24b,,
618857855,1/21/2021 5:15,SOEM1,18202,1/5.1/1,1/21/2021 0:00,24,Near End,TN-MST07-MS2861.1,AMM 6PC,-54.5,mT7a,m47a,,
618857855,1/21/2021 5:15,SOEM1,18202,1/2.1/1,1/21/2021 0:00,24,Near End,TN-MST07-MS2861.1,AMM 6PC,-42.3,mT7b,m35c,,
45191681,1/21/2021 5:15,SOEM1,18192,1/3.1/1,1/21/2021 0:00,24,Near End,TN-TP4210-TN1.1,AMM 6PC,-41.3,T10g,T56b,,
45191681,1/21/2021 5:15,SOEM1,18192,1/6.1/1,1/21/2021 0:00,24,Near End,TN-TP4210-TN1.1,AMM 6PC,-49.2,T10h,T57b,,
45191681,1/21/2021 5:15,SOEM1,18192,1/2.1/1,1/21/2021 0:00,24,Near End,TN-TP4210-TN1.1,AMM 6PC,-37.6,T10c,T08b,,
45191681,1/21/2021 5:15,SOEM1,18192,1/5.1/1,1/21/2021 0:00,24,Near End,TN-TP4210-TN1.1,AMM 6PC,-41,T10m,T97d,,
45191681,1/21/2021 5:15,SOEM1,18192,1/4.1/1,1/21/2021 0:00,24,Near End,TN-TP4210-TN1.1,AMM 6PC,-40.7,T10f,T97c,,
1940560785,1/21/2021 5:15,SOEM1,18209,1/6.1/1,1/21/2021 0:00,24,Near End,TN-MS2852.1,AMM 6PC,-42,m52d,m59b,,
1940560785,1/21/2021 5:15,SOEM1,18209,1/5.1/1,1/21/2021 0:00,24,Near End,TN-MS2852.1,AMM 6PC,-44.2,m52a,m43a,,
1940560785,1/21/2021 5:15,SOEM1,18209,1/2.1/1,1/21/2021 0:00,24,Near End,TN-MS2852.1,AMM 6PC,-49.8,m52d,m57c,,
1940560785,1/21/2021 5:15,SOEM1,18209,1/3.1/1,1/21/2021 0:00,24,Near End,TN-MS2852.1,AMM 6PC,-55.5,m52d,m57c,,
1940560785,1/21/2021 5:15,SOEM1,18209,1/4.1/1,1/21/2021 0:00,24,Near End,TN-MS2852.1,AMM 6PC,-42.9,m52c,m48b,,
-1778122175,1/21/2021 5:15,SOEM1,18205,1/6.1/1,1/21/2021 0:00,24,Near End,TN-MST09.1,AMM 20PB,-34.1,mT9a,mT4a,,
-1778122175,1/21/2021 5:15,SOEM1,18205,1/7.1/1,1/21/2021 0:00,24,Near End,TN-MST09.1,AMM 20PB,-34.4,mT9c,mT4f,,
-1778122175,1/21/2021 5:15,SOEM1,18205,1/2.1/1,1/21/2021 0:00,24,Near End,TN-MST09.1,AMM 20PB,-32.9,mT9i,dT7i,,
-1778122175,1/21/2021 5:15,SOEM1,18205,1/4.1/1,1/21/2021 0:00,24,Near End,TN-MST09.1,AMM 20PB,-33.8,mT9b,dT7e,,
231602249,1/21/2021 5:15,SOEM1,18232,1/3.1/1,1/21/2021 0:00,24,Near End,TN-OU3055.1,AMM 20PB,-46.7,Y55e,Y09e,,
231602249,1/21/2021 5:15,SOEM1,18232,1/5.1/1,1/21/2021 0:00,24,Near End,TN-OU3055.1,AMM 20PB,-51.4,Y55f,Y09f,,
231602249,1/21/2021 5:15,SOEM1,18232,1/4.1/1,1/21/2021 0:00,24,Near End,TN-OU3055.1,AMM 20PB,-50.4,Y55f,Y09f,,
231602249,1/21/2021 5:15,SOEM1,18232,1/2.1/1,1/21/2021 0:00,24,Near End,TN-OU3055.1,AMM 20PB,-46,Y55e,Y09e,,
231602249,1/21/2021 5:15,SOEM1,18232,1/7.1/1,1/21/2021 0:00,24,Near End,TN-OU3055.1,AMM 20PB,-43.8,Y55d,Y56d,,
231602249,1/21/2021 5:15,SOEM1,18232,1/6.1/1,1/21/2021 0:00,24,Near End,TN-OU3055.1,AMM 20PB,-44.5,Y55c,Y56c,,
-519715221,1/21/2021 5:15,SOEM1,18223,1/2.1/1,1/21/2021 0:00,24,Near End,TN-AL5194.1,AMM 2PB,-42.9,494a,492b,,
-519715221,1/21/2021 5:15,SOEM1,18223,1/3.1/1,1/21/2021 0:00,24,Near End,TN-AL5194.1,AMM 2PB,-43.5,494b,455a,,
-2067080599,1/21/2021 5:15,SOEM1,18211,1/3.1/1,1/21/2021 0:00,24,Near End,TN-MS2827.1,AMM 2PB,-44.5,m27c,m70b,,
-2067080599,1/21/2021 5:15,SOEM1,18211,1/2.1/1,1/21/2021 0:00,24,Near End,TN-MS2827.1,AMM 2PB,-47.9,m27b,mT2c,,
541448345,1/21/2021 5:15,SOEM1,18216,1/4.1/1,1/21/2021 0:00,24,Near End,TN-DJT07.1,AMM 6PC,-31.3,dT7i,mT9i,,
541448345,1/21/2021 5:15,SOEM1,18216,1/5.1/1,1/21/2021 0:00,24,Near End,TN-DJT07.1,AMM 6PC,-33.5,dT7e,mT9b,,
541448345,1/21/2021 5:15,SOEM1,18216,1/2.1/1,1/21/2021 0:00,24,Near End,TN-DJT07.1,AMM 6PC,-40.7,dt7v,d34v,,
541448345,1/21/2021 5:15,SOEM1,18216,1/3.1/1,1/21/2021 0:00,24,Near End,TN-DJT07.1,AMM 6PC,-41,dt7u,d34u,,
-1892051364,1/21/2021 5:15,SOEM1,18222,1/2.1/1,1/21/2021 0:00,24,Near End,TN-AL4915.1,AMM 20PB,-42.3,L15e,ATBe,,
-1892051364,1/21/2021 5:15,SOEM1,18222,1/12.1/1,1/21/2021 0:00,24,Near End,TN-AL4915.1,AMM 20PB,-42.6,L15a,h77a,,
-1892051364,1/21/2021 5:15,SOEM1,18222,1/10.1/1,1/21/2021 0:00,24,Near End,TN-AL4915.1,AMM 20PB,-41,L15g,246a,,
-1892051364,1/21/2021 5:15,SOEM1,18222,1/8.1/1,1/21/2021 0:00,24,Near End,TN-AL4915.1,AMM 20PB,-42.6,L15i,n01a,,
-1892051364,1/21/2021 5:15,SOEM1,18222,1/7.1/1,1/21/2021 0:00,24,Near End,TN-AL4915.1,AMM 20PB,-47.9,L15c,L14b,,
-1892051364,1/21/2021 5:15,SOEM1,18222,1/5.1/1,1/21/2021 0:00,24,Near End,TN-AL4915.1,AMM 20PB,-42.6,L15f,ATBf,,
-1892051364,1/21/2021 5:15,SOEM1,18222,1/6.1/1,1/21/2021 0:00,24,Near End,TN-AL4915.1,AMM 20PB,-42.6,L15c,L14b,,
-1892051364,1/21/2021 5:15,SOEM1,18222,1/3.1/1,1/21/2021 0:00,24,Near End,TN-AL4915.1,AMM 20PB,-42.3,L15b,ATBn,,
-1892051364,1/21/2021 5:15,SOEM1,18222,1/4.1/1,1/21/2021 0:00,24,Near End,TN-AL4915.1,AMM 20PB,-44.2,L15d,ATBc,,
-1892051364,1/21/2021 5:15,SOEM1,18222,1/9.1/1,1/21/2021 0:00,24,Near End,TN-AL4915.1,AMM 20PB,-49.8,L15h,L16b,,
-1044994160,1/21/2021 5:15,SOEM1,18244,1/2.1/1,1/21/2021 0:00,24,Near End,TN-AL5089.1,AMM 2PB,-39.5,289d,L40d,,
611449565,1/21/2021 5:15,SOEM1,18249,1/2.1/1,1/21/2021 0:00,24,Near End,TN-AL5288.1,AMM 2PB,-43.2,h88a,234g,,
-1785092912,1/21/2021 5:15,SOEM1,18251,1/3.1/1,1/21/2021 0:00,24,Near End,TN-AL6221.1,AMM 2PB,-39.8,f21a,656b,,
148175249,1/21/2021 5:15,SOEM1,18250,1/2.1/1,1/21/2021 0:00,24,Near End,TN-AL5922.1,AMM 2PB,-40.1,522a,L58c,,
430631827,1/21/2021 5:15,SOEM1,18247,1/2.1/1,1/21/2021 0:00,24,Near End,TN-AL0089.1,AMM 2PB,-43.2,p89a,p94b,,
-1780349707,1/21/2021 5:15,SOEM1,18256,1/3.1/1,1/21/2021 0:00,24,Near End,TN-BB3460.1,AMM 2PB,-41.6,D60b,D04e,,
-1780349707,1/21/2021 5:15,SOEM1,18256,1/2.1/1,1/21/2021 0:00,24,Near End,TN-BB3460.1,AMM 2PB,-42.9,D60c,D40b,,
2063675369,1/21/2021 5:15,SOEM1,18254,1/3.1/1,1/21/2021 0:00,24,Near End,TN-AL6285.1,AMM 6PC,-47.3,f85a,H42b,,
2063675369,1/21/2021 5:15,SOEM1,18254,1/2.1/1,1/21/2021 0:00,24,Near End,TN-AL6285.1,AMM 6PC,-42.3,f85a,H42b,,
1527641512,1/21/2021 5:15,SOEM1,18246,1/3.1/1,1/21/2021 0:00,24,Near End,TN-AL0094.1,AMM 2PB,-45.1,p94b,p89a,,
