NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,RFInputPower,MeanRxLevel1m,IdLogNum,TID,FarEndTID,FailureDescription
SOEM1,5354,F6/1.1/1,2021-01-21 00:00:00,24,Near End,TN-CO2514-TN1.1,AMM 6PC,-,-38.8,0.0,0,----,----,-
SOEM1,5354,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-CO2514-TN1.1,AMM 6PC,-,-46.0,-45.8,0,C14w,C88y,-
SOEM1,5349,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-SE1972.1,AMM 2PB,-,-51.4,-51.6,0,S72b,ST7h,-
SOEM1,5352,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN6p-TO1546.1,AMM 6PC,-,-42.3,-42.3,0,Z46c,195a,-
SOEM1,5362,F16/1.1/1,2021-01-21 00:00:00,24,Near End,TN1-SKT06.1,AMM 20PB,-,-99.9,0.0,0,----,----,PM Failure - NE PM data is invalid
SOEM1,5362,F13/1.1/1,2021-01-21 00:00:00,24,Near End,TN1-SKT06.1,AMM 20PB,-,-99.9,0.0,0,----,----,PM Failure - NE PM data is invalid
SOEM1,5362,F14/1.1/1,2021-01-21 00:00:00,24,Near End,TN1-SKT06.1,AMM 20PB,-,-41.3,0.0,0,----,----,-
SOEM1,5362,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN1-SKT06.1,AMM 20PB,-,-43.5,0.0,0,KT6b,CT0f,-
SOEM1,5362,1/17.1/1,2021-01-21 00:00:00,24,Near End,TN1-SKT06.1,AMM 20PB,-,-99.9,0.0,0,KT6i,K47b,PM Failure - NE PM data is invalid
SOEM1,5366,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-KHT06.1,AMM 2PB,-,-47.0,0.0,0,7T6b,7T3d,-
SOEM1,5430,Unreachable Bulk FC,2021-01-21 00:00:00,24,Near End,TN-ALT05-TN1.1,AMM 6PC,-,-,-,0,----,----,PM Failure - Data no longer available in NE
SOEM1,5364,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0920.1,AMM 2PB,-,-44.2,0.0,0,----,----,-
SOEM1,5412,1/6.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5338.1,AMM 6PC,-,-41.6,-41.6,0,538b,L33a,-
SOEM1,5421,F3/1.1/1,2021-01-21 00:00:00,24,Near End,TN-ALT01-TN2.1,AMM 20PB,-,-36.6,0.0,0,----,----,-
SOEM1,5421,F14/1.1/1,2021-01-21 00:00:00,24,Near End,TN-ALT01-TN2.1,AMM 20PB,-,-49.5,0.0,0,----,----,-
SOEM1,5421,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-ALT01-TN2.1,AMM 20PB,-,-37.3,-37.0,0,AT1h,A33d,-
SOEM1,5421,1/9.1/1,2021-01-21 00:00:00,24,Near End,TN-ALT01-TN2.1,AMM 20PB,-,-35.1,-35.2,0,AT1p,ATFg,-
SOEM1,5444,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BL5593.1,AMM 2PB,-,-35.4,0.0,0,----,----,-
SOEM1,5407,1/7.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0987.1,AMM 20PB,-,-38.2,-38.3,0,B87z,MT1z,-
SOEM1,5407,F7/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0987.1,AMM 20PB,-,-38.2,0.0,0,----,----,-
SOEM1,5437,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5497.1,AMM 2PB,-,-46.4,-46.0,0,697a,f03b,-
SOEM1,5365,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0939.1,AMM 6PC,-,-39.1,0.0,0,----,----,-
SOEM1,5365,F6/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0939.1,AMM 6PC,-,-36.3,0.0,0,----,----,-
SOEM1,5424,F2/2.1/1,2021-01-21 00:00:00,24,Near End,TN-AL1641-TN2.1,AMM 6PC,-,-48.5,0.0,0,----,----,-
