NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,RFInputPower,MeanRxLevel1m,IdLogNum,TID,FarEndTID,FailureDescription
SOEM1,19092,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-ALWOF13.1,AMM 6PC,-,-42.6,0.0,0,W13a,209e,-
SOEM1,19092,F4/2.1/1,2021-01-21 00:00:00,24,Near End,TN-ALWOF13.1,AMM 6PC,-,-46.4,0.0,0,----,----,-
SOEM1,19084,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-CO6078.1,AMM 2PB,-,-37.6,-37.6,0,c78b,c17d,-
SOEM1,19084,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-CO6078.1,AMM 2PB,-,-36.9,0.0,0,----,----,-
SOEM1,19088,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5263.1,AMM 2PB,-,-38.8,-38.7,0,h63a,A85d,-
SOEM1,19088,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5263.1,AMM 2PB,-,-37.3,0.0,0,----,----,-
SOEM1,19091,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BL5513.1,AMM 2PB,-,-62.4,0.0,0,----,----,-
SOEM1,19091,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BL5513.1,AMM 2PB,-,-64.2,-64.2,0,b13a,B13c,-
SOEM1,19067,F3/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BLT02-TN3.1,AMM 20PB,-,-36.6,0.0,0,----,----,-
SOEM1,19067,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BLT02-TN3.1,AMM 20PB,-,-35.7,-35.7,0,BT2p,B87b,-
SOEM1,19067,F15/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BLT02-TN3.1,AMM 20PB,-,-39.1,0.0,0,----,----,-
SOEM1,19067,F16/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BLT02-TN3.1,AMM 20PB,-,-39.5,0.0,0,----,----,-
SOEM1,19067,F17/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BLT02-TN3.1,AMM 20PB,-,-39.8,0.0,0,----,----,-
SOEM1,19067,F14/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BLT02-TN3.1,AMM 20PB,-,-41.0,0.0,0,----,----,-
SOEM1,19067,F8/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BLT02-TN3.1,AMM 20PB,-,-99.9,0.0,0,----,----,PM Failure - NE PM data is invalid
SOEM1,19067,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BLT02-TN3.1,AMM 20PB,-,-35.7,0.0,0,----,----,-
